code,name,personality_name,potential_ids,shakes_name
01,学科门类：哲学,,,
0101,哲学类,,,
010101,哲学,A,179,思维创造型
010102,逻辑学,C,138,公益维护型
010103K,宗教学,S,579,社会交际型
010104T,伦理学,S,479,社会交际型
02,学科门类：经济学,,,
0201,经济学类,,,
020101,经济学,I,135,思维创造型
020102,经济统计学,C,138,公益维护型
020103T,国民经济管理,I,158,目标管理型
020104T,资源与环境经济学,I,157,思维创造型
020105T,商务经济学,I,158,目标管理型
020106T,能源经济,I,159,思维创造型
0202,财政学类,,,
020201K,财政学,I,158,目标管理型
020202,税收学,I,159,思维创造型
0203,金融学类,,,
020301K,金融学,I,158,目标管理型
020302,金融工程,C,189,公益维护型
020303,保险学,I,459,社会交际型
020304,投资学,I,159,思维创造型
020305T,金融数学,I,139,思维创造型
020306T,信用管理,E,359,目标管理型
020307T,经济与金融,I,159,思维创造型
0204,经济与贸易类,,,
020401,国际经济与贸易,E,158,目标管理型
020402,贸易经济,E,158,目标管理型
03,学科门类：法学,,,
0301,法学类,,,
030101K,法学,I,138,思维创造型
030102T,知识产权,C,238,个人工作型
030103T,监狱学,I,235,个人工作型
0302,政治学类,,,
030201,政治学与行政学,I,459,社会交际型
030202,国际政治,S,579,社会交际型
030203,外交学,S,569,社会交际型
030204T,国际事务与国际关系,S,569,社会交际型
030205T,政治学、经济学与哲学,S,579,社会交际型
0303,社会学类,,,
030301,社会学,S,579,社会交际型
030302,社会工作,S,259,公益维护型
030303T,人类学,S,479,社会交际型
030304T,女性学,S,479,社会交际型
030305T,家政学,S,579,社会交际型
0304,民族学类,,,
030401,民族学,S,579,社会交际型
0305,马克思主义理论类,S,579,社会交际型
030501,科学社会主义,S,579,社会交际型
030502,中国共产党历史,S,579,社会交际型
030503,思想政治教育,S,469,社会交际型
0306,公安学类,,,
030601K,治安学,C,239,公益维护型
030602K,侦查学,C,238,个人工作型
030603K,边防管理,E,358,目标管理型
030604TK,禁毒学,C,238,个人工作型
030605TK,警犬技术,C,239,公益维护型
030606TK,经济犯罪侦查,C,123,个人工作型
030607TK,边防指挥,E,358,目标管理型
030608TK,消防指挥,E,356,目标管理型
030609TK,警卫学,C,123,个人工作型
030610TK,公安情报学,C,137,思维创造型
030611TK,犯罪学,S,579,社会交际型
030612TK,公安管理学,E,359,目标管理型
030613TK,涉外警务,S,234,个人工作型
030614TK,国内安全保卫,C,238,个人工作型
030615TK,警务指挥与战术,E,158,目标管理型
04,学科门类：教育学,,,
0401,教育学类,,,
040101,教育学,S,359,社会交际型
040102,科学教育,S,359,社会交际型
040103,人文教育,S,359,社会交际型
040104,教育技术学,S,159,社会交际型
040105,艺术教育,E,367,文艺革新型
040106,学前教育,S,679,文艺革新型
040107,小学教育,S,679,文艺革新型
040108,特殊教育,S,679,文艺革新型
040109T,华文教育,S,679,文艺革新型
0402,体育学类,,,
040201,体育教育,S,269,公益维护型
040202K,运动训练,S,238,个人工作型
040203,社会体育指导与管理,E,459,社会交际型
040204K,武术与民族传统体育,S,238,个人工作型
040205,运动人体科学,,,
040206T,运动康复,S,459,社会交际型
040207T,休闲体育,S,679,文艺革新型
05,学科门类：文学,,,
0501,中国语言文学类,,,
050101,汉语言文学,A,379,文艺革新型
050102,汉语言,A,379,文艺革新型
050103,汉语国际教育,S,679,文艺革新型
050104,中国少数民族语言文学,A,379,文艺革新型
